epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2934,3.91624,4.34437,3.98522,0.3558,0,0,0,0,4.34351,4.23468,4.05336,0.38237,0.000660131,0.000660131,0.000660131
2,33.9358,3.30762,3.99334,3.3572,0.20571,0.01474,0.03277,0.004,0.00105,3.99115,9.5918,3.99446,0.25117,0.00132677,0.00132677,0.00132677
3,50.3027,2.89058,3.52043,3.08589,0.13152,0.03263,0.17307,0.01762,0.00427,2.84396,7.3191,2.96203,0.09245,0.00199331,0.00199331,0.00199331
4,65.6726,2.70754,3.13625,2.94497,0.1145,0.18509,0.17614,0.09726,0.02628,2.61433,3.14332,2.80064,0.07141,0.00199964,0.00199964,0.00199964
5,81.5796,2.55478,2.87836,2.85609,0.09811,0.15509,0.19355,0.0865,0.02452,2.5367,2.9371,2.73922,0.06457,0.00199936,0.00199936,0.00199936
6,97.5389,2.45947,2.71488,2.75733,0.0928,0.30395,0.30415,0.19341,0.06051,2.29831,2.49624,2.58817,0.05559,0.001999,0.001999,0.001999
7,113.875,2.37001,2.53967,2.72392,0.09019,0.30263,0.2893,0.18694,0.06215,2.28097,2.75825,2.57421,0.056,0.00199856,0.00199856,0.00199856
8,129.569,2.28886,2.4172,2.67327,0.08736,0.36872,0.34101,0.25642,0.08983,2.18386,2.48977,2.55794,0.04658,0.00199805,0.00199805,0.00199805
9,144.971,2.2086,2.38991,2.61326,0.07492,0.3559,0.34357,0.25217,0.08722,2.15361,2.27607,2.52924,0.0442,0.00199745,0.00199745,0.00199745
10,160.272,2.13207,2.27727,2.5758,0.0736,0.44473,0.36918,0.32225,0.13318,2.03844,2.20003,2.46946,0.04226,0.00199677,0.00199677,0.00199677
11,174.817,2.07021,2.20848,2.57274,0.06777,0.41549,0.41116,0.33112,0.13628,1.95574,2.133,2.43731,0.03794,0.00199601,0.00199601,0.00199601
12,189.668,2.01614,2.13652,2.52379,0.07093,0.45749,0.39939,0.36098,0.16092,1.91646,2.05414,2.37641,0.03839,0.00199518,0.00199518,0.00199518
13,204.851,1.98166,2.12405,2.49499,0.07116,0.47763,0.38351,0.37182,0.17284,1.89909,2.0703,2.38007,0.03805,0.00199426,0.00199426,0.00199426
14,219.952,1.9202,2.01655,2.49901,0.06566,0.49488,0.41423,0.40968,0.18984,1.85441,2.0326,2.35387,0.03537,0.00199327,0.00199327,0.00199327
15,235.746,1.94026,2.02907,2.47416,0.06482,0.49155,0.4214,0.3835,0.18354,1.7776,2.10444,2.33564,0.03218,0.00199219,0.00199219,0.00199219
16,251.44,1.85799,1.97135,2.42191,0.05814,0.53791,0.44035,0.45714,0.22979,1.74981,1.84637,2.30297,0.03087,0.00199104,0.00199104,0.00199104
17,267.257,1.81972,1.86752,2.37311,0.06212,0.44981,0.40809,0.38135,0.18693,1.76581,1.9953,2.28385,0.03289,0.00198981,0.00198981,0.00198981
18,283.143,1.77007,1.90513,2.37015,0.06122,0.57197,0.44854,0.45851,0.23904,1.68293,1.82123,2.25121,0.02885,0.0019885,0.0019885,0.0019885
19,298.635,1.76059,1.83156,2.31666,0.06055,0.57479,0.47619,0.48971,0.24922,1.70718,1.81565,2.25638,0.03196,0.00198711,0.00198711,0.00198711
